stn_id,borrowed_hour,borrowed_day,is_holiday,borrowed_num_nearby,강수량(mm),wind_chill,nearby_id,borrowed_date,XGB_Prediction,LGBM_Prediction,Ensemble_Prediction,predicted_borrowed_num
1210,17,7,1,1.0,0,3.3331487791862107,1046,20231203,1.4373862,1.2941426386439643,1.3657643968862216,1.3657643968862216
1211,17,7,1,2.0,0,2.8150453165647726,1047,20231203,2.0948224,1.4911652252861651,1.792993816027482,1.792993816027482
1212,17,7,1,2.0,0,2.8150453165647726,1048,20231203,2.0948224,1.4911652252861651,1.792993816027482,1.792993816027482
1213,17,7,1,3.0,0,5.5166,118,20231203,2.0591025,1.5844025238604091,1.821752529554106,1.821752529554106
1214,17,7,1,1.0,0,3.3331487791862107,1049,20231203,1.4373862,1.2456777532166707,1.341531954172575,1.341531954172575
1215,17,7,1,1.0,0,5.5166,625,20231203,1.6652194,1.7382725088104,1.7017459674827453,1.7017459674827453
1216,17,7,1,3.0,0,5.663108803109136,1050,20231203,3.0560806,1.6180035761889378,2.3370420779733143,2.3370420779733143
1217,17,7,1,1.0,0,1.9400653186211123,1051,20231203,2.031781,1.4717725204129857,1.7517767392943224,1.7517767392943224
1218,17,7,1,2.0,0,3.3331487791862107,1052,20231203,2.5697246,1.3918058158701978,1.9807651878270667,1.9807651878270667
1219,17,7,1,1.0,0,3.3331487791862107,1053,20231203,2.074767,1.4579075543947102,1.766337333563322,1.766337333563322
1220,17,7,1,2.0,0,1.9400653186211123,1054,20231203,2.5652273,1.3991299216266573,1.9821785958765,1.9821785958765
1221,17,7,1,3.0,0,5.5166,1055,20231203,3.0551932,1.5873087596947415,2.3212509727505077,2.3212509727505077
1222,17,7,1,1.0,0,3.3331487791862107,1056,20231203,1.909863,1.4579075543947102,1.6838852747712076,1.6838852747712076
1223,17,7,1,2.0,0,5.5166,1057,20231203,2.3429039,1.6663728111767036,2.004638331819736,2.004638331819736
1224,17,7,1,1.0,0,4.657721484460929,1058,20231203,2.2245324,1.6077341096867992,1.9161332377428746,1.9161332377428746
1225,17,7,1,3.0,0,4.657721484460929,1059,20231203,3.4175496,1.6045372938105895,2.5110434519742646,2.5110434519742646
1226,17,7,1,1.0,0,5.5166,1060,20231203,2.1575763,1.5885276036364249,1.8730519630959834,1.8730519630959834
1227,17,7,1,1.0,0,5.326435435722722,612,20231203,1.7516202,1.795971027161478,1.7737956003078814,1.7737956003078814
1228,17,7,1,1.0,0,5.326435435722722,243,20231203,1.3985792,2.156099340394428,1.777339290119852,1.777339290119852
1229,17,7,1,2.0,0,5.326435435722722,1061,20231203,2.6201653,1.7239187482413958,2.172042048147187,2.172042048147187
1230,17,7,1,2.0,0,5.5166,1062,20231203,3.1176884,1.7207665974257007,2.4192275074301968,2.4192275074301968
1231,17,7,1,2.0,0,4.657721484460929,1063,20231203,3.6841178,1.5323541652333248,2.608235979635095,2.608235979635095
1232,17,7,1,2.0,0,5.663108803109136,1064,20231203,3.1176884,1.7143402730322501,2.4160143452334712,2.4160143452334712
1233,17,7,1,3.0,0,5.5166,1065,20231203,3.88954,1.847866854833204,2.8687034059398564,2.8687034059398564
